スクショ,投稿文,リプ,いいね,インプ,日時,URL,
,"バズってるから買う、インフルエンサーが使ってるから買う、それで肌変わらなかったら意味ない。美容皮膚科で働いてて思うけど、結局肌を変えるのは流行りじゃなくて習慣。私もいろんなスキンケア使い漁ってきたけど、最後に残ってるのは“地味だけど肌に効いたやつ”だけだった。バズより大事なのは、自分の肌にちゃんと合うかどうか。だから私は今日も地味に効くいつものやつを手に取る。

年齢に負けない美肌になりたい人は
@reika_biyou
 をフォローしといてね🫶🏻
愛用品はプロフにまとめてますよ〜🕊️













",3,13,"11,420",2025/4/22 23:02:13,https://www.threads.com/@reika_biyou/post/DIwGC4WJsGC,
,"首のシワってめちゃくちゃ年齢出る。マスクしてても首のシワやばかったら老けみえ確定。ちなみにネックケアは気になる前から始めないと間に合わない。毎日首にもレチノール塗って、マッサージもして対策しよ。

ちなみに使ってるレチノールはこれ。何回出てくる？？って思ってる人ごめんなさい。めっちゃいいですこれ。安すぎです。
▫️rakuten pr アヌア公式
a.r10.to/hN9yE…
【楽天市場】ANUA公式】【レチノール0.3ナイアシンリニューイングセラム 30ml】美容液 アンプル セラム ビタミンA レチノール 弾力 トーンアップ くすみケア シミ トラブルケア ハリ ツヤ


























",1,13,"11,858",2025/5/9 10:20:08,https://www.threads.com/@reika_biyou/post/DJagWC7v5vs,
,"スキンケア重課金してきた分かったことは予算配分が大事だってこと。全部デパコスを買うのももちろんいいけど、絶対プチプラでいいってやつもある。米すら高い世の中なんだからケチるとこはケチって自分磨きしていこうね。分からないことはなんでも相談して！

効果あったものしか紹介してません！！！
@reika_biyou
 をフォローして
素肌美人一緒に目指そう！！！✌🏻














",1,15,"11,878",2025/5/4 12:18:07,https://www.threads.com/@reika_biyou/post/DJN133XMZO5,
,"今やってる人は絶対にやめてほしいんだけど、毛穴を広げるスキンケア当てはまるものやってないよね？(圧)

①毎日オイルクレンジングで根こそぎオフ
→洗浄力高すぎで毛穴目立ちが悪化
②頻繁な毛穴パック
→角質剥がしでバリア機能低下からの乾燥毛穴
③洗顔ブラシをフル活用
→ブラシに細菌が繁殖して炎症のもと
④スキンケアの油抜き
→水分保持に乳液やクリームはマスト

間違ったセルフケアで毛穴開きを悪化させないように注意してね⚠️







",3,11,"11,912",2025/5/12 14:14:25,https://www.threads.com/@reika_biyou/post/DJipiqpNbF6,
,"少し前にアンケートして反響が大きかった「毛穴ケアの教科書(仮)」を作り始めました〜〜！！美容皮膚科で働いてる知識と経験をフル活用＆愛用品も乗っけながらケア方法を丁寧に解説していきます！毛穴に悩む全ての女子たちを助けに行くので今しばらくお待ちを！！！！楽しみな人はいいねしてね♡







",0,118,"12,000",2025/4/11 22:19:23,https://www.threads.com/@reika_biyou/post/DITsZh8JIP1,
,"プチプラ界隈のみんな〜〜〜！！！朝ドクターシーラボ化粧水、夜キールズレチノールだけはデパコスだけど課金する価値がありすぎる🥺飲み会2回くらいパスすれば本気で肌変わるから。フォロワーさんから毎日毎日こんなDMもらうと共有せずにはいられない📨来月ボーナス入るでしょ？後悔する前に買っちゃえ🤍

▫️Rakuten PR ドクターシーラボ公式
a.r10.to/hNaV3…
【楽天市場】【全品10％OFFクーポン】【公式】 New VC 100 エッセンス ローション EX V 285mL [ ビタミンC 化粧水 ] 化粧品 大容量 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント

▫️Rakuten PR キールズ公式
a.r10.to/hk1it…
【楽天市場】キールズ レチノール 美容液 50ml 公式 kiehl's kiehls ギフト 毛穴 しわ たるみ ハリ 保湿 角質 低刺激 クリーム スキンケア セラミド 肌荒れ ニキビ ナイアシンアミド トコフェ

使い分け無理なズボラさん向け。ビタミンCとレチノールどっちも入ってるよん。費用対効果もかんぺき。
▫️Rakuten PR ドクターシーラボ公式
a.r10.to/hPlR1…
【楽天市場】【全品10％OFFクーポン】【公式ドクターシーラボ(Dr.Ci:Labo)】エンリッチメディカリフトデュオセラム 26mL 約2.5ヶ月分 美容液 純粋レチノール 高浸透ビタミンC 毛穴 ハリ くす




















",8,49,"12,000",2025/5/28 20:38:19,https://www.threads.com/@reika_biyou/post/DKMiMddJ96l,
,"肌荒れしそうなとき、私が絶対やらんって決めてること。①スクラブ洗顔→肌バリア死ぬ。②レチノール・ビタミンC強行→炎上するから絶対ストップ。③ベースメイクがっつり→とどめ刺す。てか、荒れるかもって時点で刺激物は排除一択。私がやるのは、優しい洗顔・保湿強化・とにかく睡眠。あと肌が暴れる前に仕込むのがエクラフチュール。これ塗っとくとまじだ肌荒れないもはや治る。ゆらぎ期に欠かせない最強の相棒。ガチで肌守りたい人は投資すべきアイテム。

今の季節、花粉と黄砂で肌荒れしてる人多くない？細胞レベルで炎症を沈めてくれるから、アトピー肌まで改善した。多分もうこれは薬。凄すぎて超絶信頼しかない。
▫️ rakuten ad
a.r10.to/hk2Je…
【楽天市場】【選べるサイズ・レフィル】アルビオン ALBION エクラフチュール ｔ 30ml/60ml/レフィル[美容液]：【コンパクト便】 再入荷03：コスメパルフェ


























",1,28,"12,000",2025/4/10 22:35:18,https://www.threads.com/@reika_biyou/post/DIRJbSVJElb,
,"なんでビタミンCサプリを美白のために飲むか知ってます？？？まさか田中みな実様が飲んでるからとかじゃないよね？？正解はビタミンCがメラニンの生成を抑えて、既にあるメラニンまで薄くする効果があるのに人には体内で合成する力がないから。だからサプリで飲むのが効果的。飲むなら吸収率高いリポソーム型一択。

皮膚科で内服薬とか買わんでいい。私はいつもこれ。楽天スーパーセールで500円OFFクーポン出てるのでストック足しといた✌🏻
▫️Rakuten pr リポソーム型ビタミンC
a.r10.to/hNpfL…
【楽天市場】【期間限定】500円OFFクーポン有！6/4 20:00 ~ 6/11 01:59まで！ピュアビタC 高濃度 リポソームビタミンC 配合 持続型 ビタミンC サプリ 30日分 1,000mg タイムリリース リポソーム 独


























",1,22,"12,000",2025/6/4 18:22:54,https://www.threads.com/@reika_biyou/post/DKeUQvDJseY,
,"「ビタミンCとレチノールって併用ダメなんでしょ？」ってよく聞かれるんだけどそんな事ないよ！高濃度同士の併用は刺激強すぎだからNGだけど、そうじゃなかったら大丈夫！一緒に使うことでさらにメラニン抑制、皮脂分泌抑制してくれてつるつるタマゴ肌目指せるよ！特に脂性肌さんと混合肌さんには日頃のスキンケアに取り入れてほしいな。






",3,21,"12,000",2025/6/8 13:27:25,https://www.threads.com/@reika_biyou/post/DKoFoECJWG2,
,"安い化粧水で美肌になりたいなら、ハンドプレス＆重ね付けは絶対やって。温かい手のひらでハンドプレスすることで血行促進効果もあるし、コットンより摩擦減らせる。






",0,10,"12,000",2025/5/13 22:38:24,https://www.threads.com/@reika_biyou/post/DJmIAzMsvtu,
,"結局行動に移せた人だけが分かる領域ってあるよね。スキンケアも一緒。どんだけ時間と手間をかけられるか？そうじゃないのに口だけで肌綺麗になりたいはわがままでしかないよね。私がどんだけ言っても、未来の自分の肌を変えられるのは今のあなたでしかない。

厳しいこと言っちゃいました💦
が！！！！！本当のことです。
美容クリニックに駆け込む人は若い時にサボりにサボった人が多いのも現実。クリニックで働いといてなんですが、美容医療は時間もお金もかかりますよ😇




















",2,9,"12,000",2025/5/24 22:41:09,https://www.threads.com/@reika_biyou/post/DKCdEi9pfVc,
,"くすみに関する質問が来ていたので今日はまとめて解説していきます！！✍🏻📄

「顔色がどんよりして見える…」
「美白ケアしてるのに全然明るくならない」
「歳をとってファンデの色が暗くなった」

こんな悩みがある人は絶対見て！！くすみって一言でいっても原因も見え方も対策もバラバラ。自分のくすみタイプをちゃんと知ることが、透明感アップへの近道ですよ〜！💎

【乾燥くすみ】
粉ふき・カサつき・夕方になるとどんより
▶ 原因：肌表面のキメが乱れて光が反射しない
▶ 対策：洗顔しすぎない、すぐに保湿、ミスト化粧水やクリームでこまめに潤す

【茶ぐすみ（メラニン）】
紫外線や摩擦が多い人、色ムラが出やすい人
▶ 原因：メラニンの蓄積
▶ 対策：日焼け止めを毎日・適量塗る！洗顔やクレンジングは摩擦レスで優しく

【青ぐすみ（血行不良）】
疲れて見える・顔が冷たい・青っぽく見える
▶ 原因：冷え・寝不足・鉄分不足などで血行が悪化
▶ 対策：湯船に浸かる・ストレッチ・鉄分補給（レバーやサプリも◎）

【黄ぐすみ（糖化）】
肌が黄色っぽく透明感がない
▶ 原因：糖とたんぱく質が結びついた“糖化”でAGEsが溜まる
▶ 対策：白い糖質を減らす、ナッツやビタミンB群、緑茶を取り入れて抗糖化

【グレーくすみ（ターンオーバー乱れ）】
肌がゴワついて灰色がかって見える
▶ 原因：古い角質が残って光が反射しにくい
▶ 対策：保湿強化＆代謝ケア！ビタミンB群・睡眠・運動も意識

くすみを無くしたいならインナーケアはマスト！！私が透明感アップさせるために飲んでるサプリはこれ⤵︎ ︎紫外線ケアは日焼け止めとこれをセットで夏を乗り切るぞ！とりあえず2袋は続けてみてねჱ̒՞ ̳ᴗ ̫ ᴗ ̳՞꒱
▫️rakuten pr ホワイトヴェール
a.r10.to/h5JlV…
【楽天市場】【ランキング1位獲得】ホワイトヴェール プレミアム ( 2袋 ) ニュートロックスサン アスタキサンチン 美容 サプリ UVケア 紫外線 日焼け対策 飲む美容液 機能性表示食品 日



",6,6,"12,387",2025/5/10 21:46:43,https://www.threads.com/@reika_biyou/post/DJeTtrQpTxE,
,"ビタミンC沼へようこそ。


1本使い切ってみたら分かります。パックも一緒に使うとなお効果的です😌
▫️rakuten pr ダーマレーザー公式
a.r10.to/hNV8E…
【楽天市場】ダーマレーザー 美容液 ウルセラR ウルセラC ウルセラCMAX ウルセラRNMAX スペクター 30ml レチノール ビタミンC ナイアシンアミド25%配合 高濃度 エイジングケア シミ くすみ 毛









































",3,10,"12,393",2025/5/10 22:42:15,https://www.threads.com/@reika_biyou/post/DJeaEYZJxC7,
,"昨日も今日もマツキヨでスキンケアだけに1万溶かした女、私くらいだよな？？？こうやってお給料が消えていく……旦那よごめん、そろそろ置くところなくなってきたよね🥺でも試さないと良さも悪さも分からないから許して😂ちなみに、良かったものはフォロワーさんに必ず共有しますのでお待ちを✨

あ、まだフォローしてない人は
@reika_biyou
 をフォローしといてください！
皆さんをつるつる卵肌に導きます！！！













",1,22,"12,453",2025/5/11 23:24:06,https://www.threads.com/@reika_biyou/post/DJhDp2qvOQW,
,"「まだ若いから大丈夫」と思ってる人、ほんとに一度だけ立ち止まって考えてほしい。肌ってダメージ受けてからじゃ遅い。若いうちは貯金があるから綺麗に見える。でも本当に差が出るのは30代、40代。紫外線、乾燥、摩擦…見えないダメージにちゃんと先回りできる人が未来の肌を守れる。美容って“今を綺麗にするため”じゃなくて、“未来の自分を助けるため”にやるものなの。今日からでも遅くないから、小さなことでも始めてあげてほしい。10年後、20年後、絶対に「あの時やっといてよかった」って思うから。その努力はあなたを裏切らないよ。

じゃあ何からやればいい？と思ったあなたは、
@reika_biyou
 をフォローして投稿を見てほしい！
できる美容法から取り入れてみて。私と一緒に褒められ肌目指してみない？














",1,9,"12,655",2025/4/27 23:00:08,https://www.threads.com/@reika_biyou/post/DI89x-_gbFd,
,"こんなに反響あるなんて……！！！昨日の投稿がたくさんの人に届いたみたいでめっちゃ嬉しかった。リプやDMも沢山ありがとう！！！！引き続きなんでも聞いてください！私ね、美容って自己投資だと思ってる。自分に自信を持つためでも、好きな人に振り向いてもらうためでも、自分をもっと大好きになるためでも、頑張る理由はなんだっていい。大事なのは“自分のためにちゃんと向き合えてる”ってこと。今日も一緒にコツコツ積み上げてこうね。これからも「美容頑張りたくなるアカウント」でいられるように、どんどん発信していくね！







",0,21,"12,793",2025/4/30 16:11:29,https://www.threads.com/@reika_biyou/post/DJD9ZofJ61E,
,"20代のうちにやってよかった美容10選

・まつげ美容液（マジでまつ毛育つ）
・高保湿系スキンケア（バリア機能なめてた）
・毛穴は“詰まり”より“たるみ”対策重視
・アイクリームはレチノール入り
・クレンジングは1軍を常備（乾燥知らず）
・定期的にプロのフェイシャル（自己流限界ある）
・朝は白湯＋サプリ（インナーケア大事すぎ）
・肌の調子悪い時はチョコとカフェイン控える
・スキンケアと同時にリンパマッサージ
・週1の“何もしない肌休息日”つくる

ちなみにまつ毛美容液は絶対これ使ってほしくて(私はもちろん友達でも効果実証済み)👇🏻


ラッシュアディクト ￥11,000
結局これが1番最強。まつ毛ってちゃんと美容液塗ったらどんなに短い人でも伸びるし、顔のクオリティ3割増になるよ。ad
a.r10.to/hPnKw…
【楽天市場】【公式】 ラッシュアディクト アイラッシュ コンディショニング セラム アドバンス まつげ美容液 まつ毛美容液 スキンケア ケア エクステ アドバンス 5ml Lash addict 正規品：















",1,77,"13,000",2025/4/2 22:37:44,https://www.threads.com/@reika_biyou/post/DH8jWCjpw15,
,"プチプラ界隈の皆さま！！！毛穴、皮脂、角栓フルコンプの重度混合肌が、命がけで探し出したハイスペックプチプラだけ置いとくから全員メモって！！！美容頑張りたいけど最近米すら高くて泣きそうなドケチ美容ナースが選び抜きました！！！これ使わずに美容医療に札束溶かすのまじお金ムダだから！しかも今日20時から年に4回しかない楽天スーパーセール！！！いま買わずにいつ買うの！？ほらつべこべ言わずに買ってきな！！⤵︎

①クレンジング
毛穴ケアの最初にぶち込むべきはこれ！ファンケルの黒クレンジングがまじで大優勝。角栓ふやかすホップエキス、汚れ吸着する炭×吸着泥、仕上げに緑茶・黒豆エキスで引きしめとかやりすぎてて拍手。メイク落ち最強なのにヌメりゼロで乾燥しない、毛穴詰まりガチ勢の私が感動した唯一のオイル。
▫️rakuten FANCL公式 pr
a.r10.to/hN7Wa…
【楽天市場】マイルドクレンジング オイル＜ブラック&スムース＞(増量)【ファンケル 公式】 [ FANCL クレンジング 無添加 毛穴 マイルドクレンジングオイル クレンジングオイル オイルク

②VELUSの吸着洗顔がやばすぎ…泡立てない生泥処方なのに肌に密着して毛穴汚れ吸い上げる感じが気持ちよすぎてリピ決定。Wの吸着成分×酵素×クレイでごっそりオフされるのに洗い上がりしっとりなめらか。しかも世界中から厳選された5種類の天然クレイで肌のざらつき・くすみまでケアしてくれるから肌のトーンも触り心地も全然ちがう。この値段絶対赤字やろって疑うレベル笑
◽️rakuten pr Beauty ＆ food
a.r10.to/hkc7C…
【楽天市場】VELUS 洗顔 洗顔フォーム 洗顔料 炭洗顔 洗顔クリーム 泥 泥洗顔 ドロ どろ パック クレイ 顔 角質 洗顔 メンズ 泡 女性 男性 洗顔石鹸 毛穴ケア スキンケア 角栓 敏感肌 洗顔

③個人的隠れ名品はこれ。AHA（グリコール酸・乳酸）8.5%の高濃度ピーリングローション。拭き取り式だから洗い流し不要、夜にサッと使えて最高。特に「角栓詰まり→浮かせて落とす→つるん肌」までのスピード感がすごい。しかもコスパ最強。毛穴族は使わないとがありえないレベルの1品。
◽️rakuten pr トゥベール公式
a.r10.to/hkOJv…
【楽天市場】化粧水 保湿ローション AHA 拭き取り型ピーリングローション フルーツ酸（グリコール酸・乳酸）8.5%配合 アミノ酸＆各種植物エキス配合 トゥベール トゥヴェール スキンピ

④ウルセラC美容液で美容皮膚科レベルのケアがついに家で完結する時代到来。高濃度ビタミンC×ナイアシンアミド25%というガチ処方をガラクトミセスの力で肌の奥まで届ける、これがウルセラC…これ1本で毛穴・シミ・くすみ・ハリ・透明感まで一網打尽、しかも肌負担少なめで毎日使えるの強すぎる…余裕あるなら絶対ウルセラCMAXね？おけ？
▫️ rakuten pr ダーマレーザー美容液
a.r10.to/hNiEe…
【楽天市場】ダーマレーザー 美容液 ウルセラR ウルセラC ウルセラCMAX ウルセラRNMAX スペクター 30ml レチノール ビタミンC ナイアシンアミド25%配合 高濃度 エイジングケア シミ くすみ 毛

⑤乳液難民は一旦トゥベール使いなさい！混合肌はセラミドで蓋。これ定番中の定番です。別にトゥベールの回し者ではありません(笑)単純に混合肌におすすめのブランドなのよ…
▫️rakuten pr トゥベール公式
a.r10.to/hP0wl…
【楽天市場】乳液 セラミド 楽天ベストコスメ2023 殿堂入り 学術誌掲載 60mL トゥベール トゥヴェール ナノエマルジョン／ナノエマルジョンプラス／ナノエマルジョンディープ：ビタミン

⑥エアコン乾燥気になる季節はこれ塗っとけば間違いない。120時間うるおいクリームだけあって今まで使ってきた中でも最上級の保湿力。なのに毛穴に詰まらないからニキビのものになりにくい。やっぱり韓国すげぇ…！
セラミドだからレチノールの後に塗るのも◎
▫️rakuten pr アトバリア365
a.r10.to/hkyt2…
【楽天市場】＼4日限定★全品20％OFF&先着サンプルプレゼント／[楽天1位]【公式】アトバリア 365 クリーム ハイドロクリーム 保湿 保湿クリーム フェイスクリーム クリーム セラミド ダー

⑦レチノール(夜、化粧水の後に使うよ)
毛穴に悩む人こそ夜はレチノール使ってください。朝はビタミンC、夜はレチノールこれ取り入れるだけでも絶対にお肌変える自信ある。まずは1ヶ月だけでいい。騙されたと思って試してみて。ダントツで角質ケアもできちゃうアヌア推し。ギリプチプラ…？だよね？？？
a.r10.to/hNk4W… pr
【楽天市場】【ANUA公式】【レチノール0.3ナイアシンリニューイングセラム 30ml】美容液 セラム ビタミン レチノール ナイアシンアミド くすみトラブルケア ハリ キメ ニキビ 韓国コスメ

⑧スペシャルケアは週2回の酵素洗顔！！夏はFANCLのクリアネスに限る！！もっこもこの泡でくすみも毛穴も吹っ飛ぶし、グリチルリチン酸2K配合で肌荒れまで予防してくれるよ！！旅行も帰省も絶対持っていく！
▫️Rakuten pr FANCL公式
a.r10.to/hkeIR…

【楽天市場】【ポイント5倍 6/4(水)20:00〜6/11(水)1:59】ディープクリア洗顔パウダー クリアネスVC【ファンケル 公式】[FANCL 洗顔 化粧品 酵素洗顔 酵素洗顔パウダー 無添加 洗顔料 洗顔フォ",8,49,"13,000",2025/6/4 17:24:55,https://www.threads.com/@reika_biyou/post/DKeNoDWJxs6,
,"【ご報告】
アカウント開始から2ヶ月経っていませんが、
ついにフォロワー1万人超えました！！！🥺
いつも見てくれてる皆さんのおかげです。
本当にありがとうございます！！🙇‍♀️
これからもみんなの肌ビジュを底上げできるように
コツコツ発信続けていきます！✌🏻
DMでもリプでも肌のことなら、なんでも相談してください！全力でお答えします！！！







",3,34,"13,000",2025/5/25 11:43:56,https://www.threads.com/@reika_biyou/post/DKD2p4tpqXr,
,"秒速で肌綺麗になりたいならスチーマーと美顔器は絶対使って。スチーマーで毛穴開いて汚れを浮かせて、余分な皮脂やメイク汚れをしっかり落とす。そのあと美顔器で美容液をガッツリ浸透させれば、うるおいもハリ感も全然違う。肌がパッと明るくなって、毛穴も目立たない。正直、スキンケア塗るだけじゃ限界あるなって思ったら、スチーマーと美顔器はマジで救世主だから。肌質底上げしたい人、これだけはほんと試してみてほしい。クリニック同僚で使ってない人いないから。

私が使ってるスチーマーはこれ！！ウン万円するのなんか要らない！この温スチーム浴びてクレンジングしてみてよ、肌のザラつき一瞬でバイバイできるよ！しかも5000円以下でここまでとはいい時代に生まれたな〜
▫️Rakuten pr ナノア公式
a.r10.to/hk5LX…
【楽天市場】6/4 20:00〜先着500名様【全品50％OFFクーポン】フェイススチーマー (ナノア)NANOA 皮膚科医が大注目の 濃密ナノミスト 温冷 スチーマー 美容 保湿 水道水OK たっぷりタンク 毛穴

美顔器はこれがいいとクリニックの同僚が口を揃えて言うので私もつい先日ゲットした😂結果、大正解だった！！！なんでもっと早く買わなかったんだ🥹むくみとれてリフトアップするし、肌もちもちになって鏡見るたびにニヤニヤしちゃう！笑
しかもコットンに汚れがマジでつくから落ちてるんだなぁって実感できるのもよき！！！エイジングケア始めたい30代以上の方は絶対取り入れた方がいいです！！セールで安くなってるのでこの機会にぜひ🥲
▫️Rakuten pr 美顔器
a.r10.to/hPHYF…
【楽天市場】【スタート2時間限定 50%OFF】【美人百花RF美顔器部門NO1】RF温冷美顔器PRO rf ems イオン 美顔器 エイジングケア リフトケア 美顔器 led 光フォトエステ 2MHz 高周波 温冷ケア 1台9



















",4,32,"13,000",2025/6/3 23:18:17,https://www.threads.com/@reika_biyou/post/DKcRRYNpMCv,
,"Tゾーン皮脂ドロドロ角栓詰まりまくりの重度混合肌から抜け出すには何したらいいですか………？？？？？？

𝘼,ビタミンC、レチノール、アゼライン酸だ！！！！！






",0,21,"13,000",2025/5/14 21:44:30,https://www.threads.com/@reika_biyou/post/DJomo7mJYo6,
,"正直ここまでとは思ってなかった…。腸活ってダイエットじゃなく肌にもめちゃくちゃいい。腸活始めてから3ヶ月、便秘解消だけじゃなくて、ニキビできにくくなったり、透明感出てきたり、肌荒れもしにくくなった。腸って「第二の脳」って言われるくらい大事だから日常生活から意識変えていきたいところ。スキンケアだけに頼りすぎず生活も見直すことが美肌への近道！ゆる腸活で取り組んでることは…

①毎日納豆とキムチを食べる
②食物繊維を積極的にとる
③水分をこまめにとる
④乳酸菌サプリを摂る
これ続けるだけでも身体の調子が良くなってきて嬉しい😭食事で補えない分はサプリで摂るのが手軽で続けやすいよ！私が毎日飲んでるのはこれ！参考にしてね🙌🏻
▫️Rakuten pr 酪酸菌サプリ
a.r10.to/hkfol…
【楽天市場】【期間限定】500円OFFクーポン有！6/4 20:00 ~ 6/11 01:59まで！ビフィラル酪酸菌 生きた酪酸菌 30億個 贅沢配合 乳酸菌 ビフィズス菌 酪酸菌 菌活 オリゴ糖 イヌリン プロバイオテ



























",1,16,"13,000",2025/6/8 16:43:17,https://www.threads.com/@reika_biyou/post/DKocCqHpg9O,
,"なぜかみんな気づいてないようだから言うけど、ショート動画でよく流れてくる日焼け止め1番焼けないのはどれ検証、1番焼けてないのは布？テープ？貼った部分なんだよ。だからどんなに日焼け止め塗っても汗皮脂で流れ落ちて効果落ちるんだし、結論物理的に遮断した方が間違いないでしょ！物理的カット＞日焼け止めカット。みんなこれは忘れちゃならぬ。






",0,14,"13,000",2025/5/16 10:00:47,https://www.threads.com/@reika_biyou/post/DJsfsiqAovy,
,"言っとくけど後悔したくないなら、ビタミンCはマストだよ。クリニックでも見ない日はないくらい鉄板の成分で、くすみ・毛穴・ニキビ跡・紫外線ダメージ、20代後半からじわじわ出てくる肌悩みにめちゃくちゃ効果的。今の肌を整えるだけじゃなくて、未来の肌に投資できる数少ない成分。美容界隈では当たり前すぎてみんな言わないけど老化にブレーキかけたいなら早く始めるのが正解。ちゃんと選べば、1本でも肌は変わる。私がガチで使ってるビタミンCまとめておくから、「肌を褒められる生活」してみたい人だけ、見て⤵︎ ︎

美容液はこれ使っとけば間違いないよ。コスパ良すぎるのに効果バツグン。使えば使うほど肌トーンが明るくなって毛穴も目立ちにくい褒められ肌になる。
▫️rakuten
a.r10.to/hNleu…
【楽天市場】ダーマレーザー 美容液 ウルセラR ウルセラC ウルセラCMAX ウルセラRNMAX スペクター 30ml レチノール ビタミンC ナイアシンアミド25%配合 高濃度 エイジングケア シミ くすみ 毛

私のアカウントではおなじみこちら。大好きで朝は毎日これ使ってる。肌がツヤツヤになるし、肌の調子がいつもいいのはこれのおかげ😌
【楽天市場】【25%OFFクーポン】★旧品★【公式ドクターシーラボ(Dr.Ci:Labo)】VC100エッセンスローションEX20 150mL 化粧水 ローション ビタミンc コラーゲン エイジングケア 化粧品 スキンケ

ちょっとお金に余裕がある人はオバジ一択。だってビタミンC濃度高いのにベタベタしないメイク前でも使いやすい。唯一の弱点は高いところだけ。
▫️ rakuten
a.r10.to/hYFQF…
【楽天市場】2024年製造【国内正規品】Obagi オバジC25 セラム ネオ 12mL (美容液) 選べる 単品/２個セット/ 最高峰スペシャルセット宅急便送料無料：ファンシーコスメ



















",3,13,"13,048",2025/4/19 0:16:37,https://www.threads.com/@reika_biyou/post/DIl7YWippnI,
,"「自分の肌質がわかりません」ってDMがまじで多い。多分ほとんどの人がちゃんと理解できてない。乾燥肌だと思ってたらインナードライだったり、脂性肌だと思ってたら実は水分不足で暴走してただけだったり。私もTゾーンテカテカだから脂性肌って思ってたけど、保湿変えたら一気に落ち着いて「これ乾燥だったんだ…」って気づいた。今何に悩んでて、何に反応してるか。それをちゃんと観察できる人が強い。美肌目指すなら肌と仲良くならなきゃね。肌質分かんない人はツリー見て。

① 洗顔してすぐにつっぱる？
→ YES → 乾燥肌 or インナードライの可能性大！
→ NO → 次へGO

① 洗顔してすぐにつっぱる？
→ YES → 乾燥肌 or インナードライの可能性大！
→ NO → 次へGO


③ 頬・口元はカサつきやすいけど、Tゾーンはベタつく？
→ YES → THE・混合肌タイプ！乾燥と皮脂のバランスくずれが原因かも
→ NO → 次へGO

④ 朝から夜まで全顔がテカる。ファンデもドロドロ。
→ YES → 脂性肌（オイリー肌）濃厚。水分不足じゃなく皮脂分泌が多めの可能性あり
→ NO → 次へGO

⑤ スキンケア変えたら赤み・ピリつき出やすい？
→ YES → バリア機能がゆらぎやすい“敏感肌傾向”あり。やさしめ処方選んで◎
→ NO → 肌は安定気味！でも油断は禁物だよ！

⑥ 乾燥しやすいけど、毛穴も目立つ・皮脂も出る
→ これインナードライあるある。肌の水分足りなくて、皮脂が暴走してる状態！保湿と皮脂ケア、どっちも大事なタイプ◎

でも実は診断名とかなくてもいい。自分の肌をよく観察して、自分に合ったスキンケア方法身につけてこう☺️





",7,15,"13,332",2025/4/24 19:48:25,https://www.threads.com/@reika_biyou/post/DI05dJdshVB,
,"わーーーーー！！毎日のように「れいかさん買いしたやつ最高です！！！！！」ってDMが来るよーーー😭こちらこそ信じて買ってくれてありがとーーーーう！！！！キレイになりたいって美容頑張ろうとする姿がめちゃくちゃカッコイイし素敵です！！！！！

史上最高のビジュになるのに年齢なんか関係ない！！！肌から本気で変えていきましょう！美肌になりたい人は
@reika_biyou
 をフォローしといてね🫶🏻
愛用品はプロフにまとめてますよ〜🕊️














",1,7,"13,352",2025/4/21 18:48:36,https://www.threads.com/@reika_biyou/post/DItEOenJgEp,
,"美容ナースになる前の私へ。毛穴もくすみも肌荒れも、全部ちゃんと変わるよ。クリニックで働いてて思うのは、肌が変わった人って継続できる人だけ。私は朝ビタミンC、夜レチノールを毎日続けてきたけど、肌が安定して、褒められることが増えて、自分にちょっと自信が持てるようになった。スキンケアってちゃんと向き合えばちゃんと応えてくれる。肌を褒められる側になりたい人は私をフォローしといて絶対損しない。ここでは「本当に使ってよかったもの」しか紹介しないから。

「れいかさんみたいに肌綺麗になりたい。」
「肌ケア頑張ってもっと自信持ちたい」
「おすすめ全部買いました」
毎日たくさんたくさんDMもらってます。本当に嬉しいです😭ありがとうございます！美肌の応援隊長として全力でスキンケアサポートします！まだの方は、
@reika_biyou
 →フォローお待ちしてます！🙇‍♀️















",1,7,"13,410",2025/4/19 10:16:34,https://www.threads.com/@reika_biyou/post/DInACcQMbVS,
,"肌タイプ別に推しの成分って違うのよって何回言ったら分かりますか？？？？？(初見さんごめん)

乾燥肌→セラミド・ヒアルロン酸
脂性肌→ナイアシンアミド・ビタミンC
敏感肌→グリチルリチン酸・ツボクサ
混合肌→CICA×セラミドの組み合わせ
普通肌→トラネキサム酸で透明感底上げ

パケ買いやめて自分の肌質でスキンケア決めよ😌






",1,190,"14,000",2025/4/6 9:29:13,https://www.threads.com/@reika_biyou/post/DIFcSWvhaFg,
,"最近メイクも髪もパッとしない、鏡見てもテンション上がらない…。そんな自分に喝入れるリスト、置いとく（自戒）

・眉毛ボーボー→整えて脱色
・美容院予約後回しにしてた→即とる
・同じメイク飽きた→新しいの研究
・まつ毛死んでる→まつパで復活
・ネイル剥げてる→新しく塗り直し
・肌カサカサ→水1.5L飲む
・どんより→30分だけでも外に出る
・体だるい→ストレッチor筋トレ5分だけ
・唇ガサガサ→寝る前に鬼保湿
・部屋散らかってる→まずは床を出す

自分史上最高のビジュいい女になりたい人は
@reika_biyou
 をフォローしてね‪⸜❤︎⸝‬














",1,186,"14,000",2025/4/1 12:49:44,https://www.threads.com/@reika_biyou/post/DH47QmQpk0j,
